word,type
reich,Other
das Flugzeug,Noun
die Gefahr,Noun
absolut,Other
bekannt,Other
tief,Other
regeln,Verb
die Bank,Noun
der Professor,Noun
der Partner,Noun
das Opfer,Noun
der See,Noun
die See,Noun
das Meer,Noun
erreichen,Verb
die Hochzeit,Noun
der Geburtstag,Noun
der Hut,Noun
die Liste,Noun
die Karte,Noun
die Gesellschaft,Noun
lügen,Verb
die Kirche,Noun
traurig,Other
die Kontrolle,Noun
das Zeichen,Noun
das Foto,Noun
seltsam,Other
sauber,Other
das Aussehen,Noun
aussehen,Verb
die Hoffnung,Noun
der Ball,Noun
der Wein,Noun
die Szene,Noun
das Vergnügen,Noun
irgendwann,Other
stechen,Verb
neun,Other
drehen,Verb
die Tante,Noun
werfen,Verb
der Fuß,Noun
gegenüber,Other
ungefähr,Other
übrigens,Other
der Mut,Noun
sauer,Other
das Geheimnis,Noun
entfernt,Other
statt,Other
das Bein,Noun
furchtbar,Other
schuldig,Other
die Gruppe,Noun
der Amerikaner,Noun
der Hals,Noun
nämlich,Other
der Besuch,Noun
wohnen,Verb
lieb,Other
persönlich,Other
die Entscheidung,Noun
interessant,Other
passen,Verb
der Wind,Noun
der Polizist,Noun
die Sekunde,Noun
beweisen,Verb
verraten,Verb
lagern,Verb
kaputt,Other
das Dorf,Noun
das Glas,Noun
nervös,Other
zuhause,Other
die Firma,Noun
die Lust,Noun
der Blick,Noun
süß,Other
öffnen,Verb
gehören,Verb
nachts,Other
der Meter,Noun
wunderschön,Other
antworten,Verb
das Loch,Noun
besuchen,Verb
entlang,Other
die Freude,Noun
geliebt,Other
die Insel,Noun
das Fleisch,Noun
der Schmerz,Noun
die Zeitung,Noun
erkennen,Verb
das Gebäude,Noun
das Messer,Noun
der Kontakt,Noun
schreien,Verb
der Rat,Noun
die Aufmerksamkeit,Noun
heiß,Other
pro,Other
die Lage,Noun
das Schicksal,Noun
der Punkt,Noun
ansehen,Verb
der Witz,Noun
diesmal,Other
ewig,Other
der Unfall,Noun
der Hunger,Noun
die Kamera,Noun
das Taxi,Noun
der Tee,Noun
das Haar,Noun
teilen,Other
der Bus,Noun
der Richter,Noun
mitnehmen,Verb
das Lied,Noun
drinnen,Other
der Computer,Noun
verstecken,Verb
das Verstecken,Noun
die Königin,Noun
der Bericht,Noun
miteinander,Other
zufrieden,Other
wütend,Other
der Fisch,Noun
vorwärts,Other
die Vergangenheit,Noun
überleben,Verb
der Agent,Noun
die Position,Noun
die Küche,Noun
der Ring,Noun
die Gegend,Noun
nah,Other
die Verbindung,Noun
das Kleid,Noun
die Ecke,Noun
das Radio,Noun
das Eis,Noun
witzig,Other
kurzlebig,Other
~ zufolge,Other
der Flug,Noun
halb,Other
England,Other
bauen,Verb
entscheiden,Verb
erledigen,Verb
zerstören,Verb
die Maschine,Noun
beschäftigt,Other
der Sommer,Noun
der Respekt,Noun
schließlich,Other
die Adresse,Noun
die Fahrt,Noun
beginnen,Verb
die Aufgabe,Noun
hängen,Verb
feiern,Verb
weinen,Verb
betrunken,Other
die Beziehung,Noun
der Wald,Noun
soweit,Other
stimmen,Verb
der Park,Noun
danken,Verb
schwierig,Other
die Hälfte,Noun
besorgt,Other
der Koffer,Noun
die Pistole,Noun
die Brücke,Noun
der Knast,Noun
